name,genre,rating,country,score,company,writer,director,hit rate,zscore,robust,minmax,tier
Stone,-0.278146896,2.325789922,0.620879471,-0.360205084,-0.039440886,-0.032960425,-0.036319141,0.468200727,-0.0339990094,-0.464792701,3.63E-05,5
Multiplicity,-0.2824206,-0.471047245,0.620879471,-0.318285329,-0.032357096,-0.045211265,-0.030876944,0.468333644,-0.0339982873,-0.464747546,3.63E-05,5
Red State,-0.320349722,2.325789922,0.620879471,-0.27513264,-0.04151766,0.100048697,0.01578485,0.468615,-0.0339967589,-0.464651963,3.64E-05,5
Cannery Row,-0.2824206,-0.418807081,0.620879471,-0.307188924,-0.04151766,-0.045211265,-0.033127729,0.469162743,-0.0339937833,-0.464465882,3.64E-05,5
Look Who's Talking Now,-0.2824206,-0.471047245,0.620879471,-0.439112858,-0.034206278,-0.044294536,-0.037864456,0.470011955,-0.03398917,-0.464177386,3.65E-05,5
Cool World,-0.263723145,-0.471047245,0.620879471,-0.357739216,-0.04151766,-0.027043353,-0.037595705,0.470352967,-0.0339873175,-0.464061536,3.65E-05,5
The Fountain,-0.278146896,-0.471047245,0.10786627,-0.114851224,-0.035145094,0.072796828,0.005169208,0.470524086,-0.0339863879,-0.464003403,3.65E-05,5
The End of the Affair,-0.278146896,2.325789922,-0.210621479,-0.134578168,-0.032357096,-0.043877841,-0.035916015,0.470774609,-0.033985027,-0.463918295,3.65E-05,5
King Kong Lives,-0.320349722,-0.471047245,0.620879471,-0.463771538,-0.039270192,-0.045211265,-0.038267581,0.471122,-0.0339831398,-0.463800278,3.65E-05,5
Superbabies: Baby Geniuses 2,-0.2824206,-0.418807081,-0.410868268,-0.484731415,-0.042029741,-0.045211265,-0.013979261,0.4724322,-0.0339760222,-0.463355173,3.66E-05,5
Nadine,-0.2824206,-0.418807081,0.620879471,-0.29362665,-0.034206278,-0.045044587,-0.036890235,0.472485917,-0.0339757304,-0.463336924,3.67E-05,5
Feardotcom,-0.351868288,2.325789922,-0.210621479,-0.36513682,-0.039469335,-0.045211265,-0.036722266,0.472550375,-0.0339753803,-0.463315026,3.67E-05,5
Troop Beverly Hills,-0.309665462,-0.418807081,0.620879471,-0.310887725,-0.041318517,-0.045211265,-0.032724604,0.4727135,-0.0339744941,-0.463259609,3.67E-05,5
Class of 1999,-0.320349722,2.325789922,0.620879471,-0.320751197,-0.04151766,-0.045211265,-0.033430073,0.473056731,-0.0339726295,-0.463143005,3.67E-05,5
Highlander: The Final Dimension,-0.320349722,-0.471047245,-0.210621479,-0.328148801,-0.04151766,-0.038294124,-0.037864456,0.473195385,-0.0339718763,-0.463095901,3.67E-05,5
Pootie Tang,-0.320349722,-0.471047245,0.620879471,-0.356506282,-0.031332934,-0.045211265,-0.037864456,0.473369,-0.0339709332,-0.46303692,3.67E-05,5
Personal Shopper,-0.278146896,2.325789922,-0.294534419,-0.318285329,-0.04151766,-0.045211265,-0.037864456,0.473401333,-0.0339707575,-0.463025936,3.67E-05,5
Most Wanted,-0.320349722,2.325789922,0.620879471,-0.333080537,-0.04151766,-0.028376778,-0.037931643,0.47352872,-0.0339700655,-0.46298266,3.67E-05,5
Fresh Horses,-0.278146896,-0.471047245,0.620879471,-0.255405697,-0.041318517,-0.045211265,-0.030641788,0.474310429,-0.0339658189,-0.462717095,3.68E-05,5
Violets Are Blue...,-0.278146896,-0.471047245,0.620879471,-0.320751197,-0.040521946,-0.045461283,-0.037864456,0.4743287,-0.0339657197,-0.462710888,3.68E-05,5
Santa Claus: The Movie,-0.309665462,-0.418807081,-0.210621479,7.213708296,-0.04151766,-0.046211334,-0.036319141,0.47434582,-0.0339656267,-0.462705072,3.68E-05,5
Intersection,-0.278146896,2.325789922,0.620879471,-0.360205084,-0.031332934,-0.045211265,-0.037562111,0.4745754,-0.0339643795,-0.462627079,3.68E-05,5
Everyone's Hero,-0.263723145,-0.127165229,0.10786627,-0.196224866,-0.041489211,-0.045127926,-0.037830862,0.475062514,-0.0339617333,-0.462461595,3.69E-05,5
The Lair of the White Worm,-0.2824206,2.325789922,-0.210621479,-0.320751197,-0.041489211,-0.046961385,-0.038569926,0.475726,-0.0339581289,-0.462236194,3.69E-05,5
