name,genre,rating,country,score,company,writer,director,hit rate
Screwballs,0.035737835,1,0.161062542,0.04085818,0.000472445,0.000402203,0.000201701,2.60276875
Brainstorm,0.01411051,0.261430325,0.251513114,0.045590787,5.28E-05,0.000872472,5.28E-05,0.681297333
Angel,0.026374786,1,0.251513114,0.051900931,0.000452275,0.000901864,0.000452275,5.829521333
10 to Midnight,0.018594224,1,0.251513114,1,0.000374698,0.000245963,0.000120245,1.587520354
Uncommon Valor,0.026374786,1,0.251513114,0.045590787,0.000314188,0.00023204,0.000220319,2.103665586
Mortuary,1,1,0.251513114,0.042120208,0.001340534,0.002673106,0.001340534,17.276004
Sahara,0.029012264,0.261430325,0.104909213,0.049850134,4.65E-06,9.28E-06,4.65E-06,0.05611848
Two of a Kind,0.035737835,0.261430325,0.251513114,0.04085818,0.000255229,0.000202649,0.000101626,1.689068
Chained Heat,0.026374786,1,0.251513114,0.049850134,0.00038168,0.000761093,0.00038168,4.9199864
Spacehunter: Adventures in the Forbidden Zone,0.026374786,0.261430325,0.251513114,0.039438397,0.00028626,0.000176351,4.81E-05,1.144323958
High Road to China,0.029012264,0.261430325,0.251513114,0.036283325,0.000107832,0.00023204,0.000116366,1.497154053
Rock & Rule,0.040353422,0.261430325,0.161062542,0.31692696,0.000445293,0,0,0.003797375
Hercules,0.029012264,0.261430325,0.065232011,0.023505285,0.000331255,0.000660542,0.000331255,4.2704776
Under Fire,0.036792826,1,0.251513114,0.056949046,0.000377801,0.00034342,0.00013576,0.599620105
Amityville 3-D,1,0.261430325,1,0.029815428,8.15E-05,0.000163975,6.36E-05,1.0555225
The Osterman Weekend,0.026374786,1,0.251513114,0.035967818,7.76E-05,0.000377452,7.76E-05,0.997968769
Revenge of the Ninja,0.026374786,1,0.251513114,0.036283325,0.000374698,0.002909787,0.000813009,18.81146714
To Be or Not to Be,0.035737835,0.261430325,0.251513114,0.057106799,0.000105505,0.000224306,5.90E-05,1.447801556
The Wicked Lady,0.029012264,1,0.104909213,0.04085818,0.0001505,1.39E-05,0.000195494,0.090614
Of Unknown Origin,1,1,0.161062542,0.036283325,0.000210234,4.18E-05,0.000185409,0.2701175
Curse of the Pink Panther,0.035737835,0.261430325,0.104909213,0.348477678,0.000269193,0.000188726,8.84E-05,0.408362364
D.C. Cab,0.026374786,1,0.251513114,0.039438397,7.68E-05,0.000312481,0.000175324,2.016828375
Beyond the Limit,0.036792826,1,0.104909213,0.051900931,3.96E-05,9.75E-05,6.98E-05,0.508268305
The Survivors,0.035737835,1,0.251513114,0.037229847,6.36E-05,0.000180992,0.000180755,1.166666667
The Lonely Lady,0.036792826,1,0.251513114,0.01624862,1.86E-05,3.71E-05,1.86E-05,0.24464
The Man Who Loved Women,0.035737835,1,0.251513114,0.031392964,4.50E-05,0.000188726,8.84E-05,0.577091579
Nightmares,1,1,0.251513114,0.037229847,0.000322721,0.000120661,0.000131105,1.11178
Deal of the Century,0.035737835,0.261430325,0.251513114,0.046221802,0.000210234,0.000872472,9.08E-05,1.0369581
Eddie Macon's Run,0.026374786,0.261430325,0.251513114,0.051900931,0.000322721,3.87E-05,0.000155154,0.2525382
Baby It's You,0.035737835,1,0.251513114,1,4.03E-05,9.59E-05,0.000207131,0.622597333
Love Letters,0.036792826,1,0.251513114,0.035967818,0.000472445,0.000773468,0.000498821,9.5818
Get Crazy,0.035737835,1,0.251513114,0.037703108,2.33E-05,4.64E-05,2.79E-05,0.299220182
Nate and Hayes,0.026374786,0.261430325,0.152320108,0.041804701,1.24E-05,2.48E-05,1.24E-05,0.163646333
Getting It on,0.035737835,1,0.251513114,0.021612242,0.000343667,0.000685293,0.000343667,4.4337
Lianna,0.036792826,1,0.251513114,0.057106799,0.000395644,0.000457893,0.000207131,5.102796667
Lovesick,0.035737835,0.261430325,0.251513114,0.042120208,0.000256005,0.000150053,4.73E-05,1.007059802
